id,age,gender,name,memory_matrix,labyrinth,math_game,names_memory,survey_score
0,68,male,Ross Richard,35.0,35.0,58.0,71.0,38.0
1,33,male,Jesus Thompson,74.0,73.0,76.0,96.0,68.0
2,47,male,Jonathan Corkill,63.0,89.0,58.0,54.0,90.0
3,39,male,Ray Sarwinski,86.0,83.0,80.0,67.0,74.0
4,83,male,Jonathan Wingfield,72.0,70.0,45.0,30.0,29.0
5,56,female,Louise Viernes,84.0,44.0,59.0,59.0,94.0
6,66,female,Bonnie Shae,44.0,61.0,94.0,70.0,64.0
7,48,female,Rose Neal,87.0,71.0,69.0,98.0,74.0
8,50,female,Alex Campbell,85.0,87.0,98.0,57.0,92.0
9,28,female,Josie Vance,90.0,84.0,75.0,91.0,76.0
